name,album,artist,release_date,lemgth,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
En Las Calles De Madrid,En Las Calles De Madrid,EDM NATIVES,2023-10-25,209400,0,0.47,0.0178,0.97,0.899,0.121,-2.274,0.0402,199.991,4
BLACK JAM,BLACK JAM,NEO JAPONISM,2023-02-15,194153,6,0.394,0.00623,0.954,0.0,0.0572,-2.083,0.171,195.225,4
Violin Concerto in D Major, RV 229: III. Allegro,Vivaldi: Concerti per violino XI 'Per Anna Maria',Antonio Vivaldi,2023-09-22,198802,5,0.402,0.916,0.171,0.259,0.118,-19.284,0.0669,68.653,4
"Bludsteroo,""Sugma, Vol. 4"",Friox,2023-11-19,161486,0,0.716,0.116,0.779,0.643,0.121,-9.112,0.035,140.014,4"
Durga Sapta Shloki,Sarveswari Durga Maa,Various Artists,2023-11-17,172997,0,0.495,0.785,0.145,0.0,0.111,-16.433,0.0608,170.412,4
My Pronouns Are Usa,My Pronouns Are Usa,Dubskie,2023-08-18,195813,7,0.788,0.0239,0.829,0.0,0.208,-8.072,0.096,129.964,4
Cup Fest,Cup Fest,SkillinJah,2023-09-07,149379,0,0.706,0.00171,0.806,0.0,0.156,-5.367,0.375,145.129,4
CAMARO,CAMARO,DIDKER,2023-08-01,199480,0,0.631,0.00557,0.562,0.854,0.115,-13.688,0.0465,153.996,4
Soy un humano,Soy un humano,Alonso,2023-11-17,289685,2,0.615,0.392,0.603,0.778,0.13,-7.908,0.0273,125.392,4
Never Let Go - Tc-5 Remix,Never Let Go (Tc-5 Remix),DisKatch,2023-11-10,176008,6,0.726,0.0394,0.642,0.358,0.109,-10.427,0.0502,124.011,4
Patience,Patience,Quinn Ayers,2023-04-28,120000,1,0.629,0.814,0.57,1.95e-06,0.156,-9.332,0.464,163.981,4
Bir Şişe Bir Boş Kadeh,Klasikleri / Gönlümüze Taht Kuran Şarkılarla,Müslüm Gürses,2023-02-10,233174,0,0.348,0.197,0.682,0.0,0.444,-6.269,0.052,132.226,4
Your Eyes,Your Eyes,sxhinophonk,2023-02-17,146827,9,0.459,0.00338,0.828,0.116,0.136,-9.886,0.0361,169.984,4
